ID,Data,Produto,Categoria,Quantidade,Preço,Valor
31,2023-03-07,Cabo HDMI,Acessórios,5.0,48.75,243.75
32,2023-10-04,Webcam Full HD,Periféricos,3.0,227.93,683.79
33,2023-12-10,Cabo HDMI,Acessórios,3.0,30.8,92.4
34,2023-05-07,Smartphone Samsung Galaxy,Celulares,3.0,2197.06,6591.18
35,2023-10-29,Smartphone Samsung Galaxy,Celulares,3.0,1305.97,3917.91
36,2023-02-04,Pen Drive 64GB,Armazenamento,4.0,40.32,161.28
37,2023-09-06,Smartphone Samsung Galaxy,Celulares,3.0,2237.18,6711.539999999999
38,2023-05-05,Webcam Full HD,Periféricos,4.0,314.75,1259.0
39,2023-07-01,Fones Bluetooth,Áudio,3.0,121.67,365.01
40,2023-12-01,Cadeira Gamer,Móveis,2.0,2037.96,4075.92
41,2023-02-25,Smartphone Samsung Galaxy,Celulares,2.0,1452.33,2904.66
42,2023-04-04,iPhone 14,Celulares,1.0,4886.26,4886.26
43,2023-10-09,Mouse Logitech,Periféricos,3.0,222.12,666.36
44,2023-02-17,Mousepad Gamer,Periféricos,5.0,122.2,611.0
45,2023-07-25,Pen Drive 64GB,Armazenamento,1.0,79.19,79.19
46,2023-05-16,Mousepad Gamer,Periféricos,2.0,113.45,226.9
47,2023-10-12,Cabo HDMI,Acessórios,1.0,25.38,25.38
48,2023-01-30,SSD 512GB,Armazenamento,3.0,525.44,1576.3200000000002
49,2023-01-26,SSD 512GB,Armazenamento,3.0,462.97,1388.91
50,2023-09-18,Mouse Logitech,Periféricos,3.0,91.55,274.65
51,2023-05-01,Fones Bluetooth,Áudio,4.0,347.75,1391.0
52,2023-08-03,Cabo HDMI,Acessórios,2.0,47.71,95.42
53,2023-04-15,Cabo HDMI,Acessórios,2.0,28.85,57.7
54,2023-12-10,Cabo HDMI,Acessórios,1.0,15.33,15.33
55,2023-11-15,Mesa de Escritório,Móveis,4.0,1207.06,4828.24
56,2023-03-09,Mousepad Gamer,Periféricos,5.0,92.75,463.75
57,2023-08-13,Roteador Wi-Fi,Rede,2.0,494.35,988.7
58,2023-12-01,Carregador USB-C,Acessórios,3.0,44.97,134.91
59,2023-12-06,Mouse Logitech,Periféricos,4.0,206.21,824.84
60,2023-03-21,Smartphone Samsung Galaxy,Celulares,3.0,1817.18,5451.54
61,2023-12-18,Cabo HDMI,Acessórios,2.0,23.79,47.58
62,2023-01-27,Mouse Logitech,Periféricos,2.0,87.49,174.98
63,2023-06-20,Webcam Full HD,Periféricos,2.0,306.435,612.87
64,2023-08-15,HD Externo 1TB,Armazenamento,1.0,333.56,333.56
65,2023-12-20,Pen Drive 64GB,Armazenamento,2.0,57.04,114.08
66,2023-03-17,Fones Bluetooth,Áudio,2.0,459.59,919.18
67,2023-01-21,Pen Drive 64GB,Armazenamento,1.0,61.68,61.68
68,2023-07-01,Webcam Full HD,Periféricos,4.0,381.44,1525.76
69,2023-05-02,Pen Drive 64GB,Armazenamento,5.0,26.36,131.8
70,2023-06-20,Webcam Full HD,Periféricos,3.0,366.02,1098.06
71,2023-05-08,Smartphone Samsung Galaxy,Celulares,1.0,1888.58,1888.58
72,2023-01-20,Pen Drive 64GB,Armazenamento,2.0,44.23,88.46
73,2023-04-27,Smartphone Samsung Galaxy,Celulares,2.0,1790.87,3581.74
75,2023-12-14,Cadeira Gamer,Móveis,1.0,996.08,996.08
76,2023-05-14,"Monitor Samsung 24""",Monitores,4.0,1217.6,4870.4
77,2023-06-26,Caixa de Som JBL,Áudio,3.0,790.54,2371.62
78,2023-03-01,Fones Bluetooth,Áudio,2.0,117.75,235.5
79,2023-08-12,Notebook Dell Inspiron,Computadores,4.0,3228.44,12913.76
80,2023-02-05,Mousepad Gamer,Periféricos,4.0,157.96,631.84
81,2023-06-03,Carregador USB-C,Acessórios,2.0,50.12,100.24
82,2023-06-01,HD Externo 1TB,Armazenamento,3.0,582.11,1746.33
83,2023-12-13,Webcam Full HD,Periféricos,3.0,225.24,675.72
84,2023-10-08,Roteador Wi-Fi,Rede,1.0,300.46,300.46
85,2023-10-24,Cabo HDMI,Acessórios,2.0,30.48,60.96
86,2023-04-20,Carregador USB-C,Acessórios,3.0,38.48,115.44
87,2023-02-13,iPhone 14,Celulares,3.0,4670.38,14011.14
88,2023-05-01,Cabo HDMI,Acessórios,1.0,20.16,20.16
89,2023-01-24,Smartphone Samsung Galaxy,Celulares,1.0,2019.75,2019.75
90,2023-11-19,SSD 512GB,Armazenamento,2.0,597.75,1195.5
91,2023-05-05,Teclado Mecânico,Periféricos,1.0,667.05,667.05
92,2023-04-23,"Monitor Samsung 24""",Monitores,4.0,1190.18,4760.72
93,2023-03-04,Carregador USB-C,Acessórios,5.0,77.5,387.5
94,2023-08-15,Cabo HDMI,Acessórios,3.0,29.94,89.82000000000001
95,2023-10-08,Carregador USB-C,Acessórios,2.0,52.5,105.0
96,2023-05-07,Pen Drive 64GB,Armazenamento,3.0,51.65,154.95
97,2023-05-03,iPhone 14,Celulares,2.0,4468.99,8937.98
98,2023-06-21,iPhone 14,Celulares,1.0,4301.66,4301.66
99,2023-07-16,Cabo HDMI,Acessórios,1.0,29.52,29.52
100,2023-06-19,HD Externo 1TB,Armazenamento,1.0,549.87,549.87
101,2023-07-19,Pen Drive 64GB,Armazenamento,3.0,26.07,78.21000000000001
102,2023-10-22,Fones Bluetooth,Áudio,2.0,219.45,438.9
103,2023-07-19,Pen Drive 64GB,Armazenamento,4.0,51.85,207.4
104,2023-05-20,Fones Bluetooth,Áudio,2.0,367.55,735.1
105,2023-07-27,Caixa de Som JBL,Áudio,4.0,744.16,2976.64
106,2023-10-31,SSD 512GB,Armazenamento,3.0,571.45,1714.3500000000001
107,2023-08-25,"Monitor Samsung 24""",Monitores,2.0,948.16,1896.32
108,2023-06-17,Tablet iPad,Tablets,5.0,2504.54,12522.7
109,2023-02-11,Carregador USB-C,Acessórios,1.0,80.0,80.0
110,2023-06-29,Smartphone Samsung Galaxy,Celulares,3.0,1272.46,3817.38
111,2023-01-16,Mousepad Gamer,Periféricos,1.0,143.2,143.2
112,2023-05-03,Teclado Mecânico,Periféricos,3.0,768.65,2305.95
113,2023-08-27,Caixa de Som JBL,Áudio,1.0,563.54,563.54
114,2023-02-28,Webcam Full HD,Periféricos,2.0,177.02,354.04
115,2023-01-14,Mousepad Gamer,Periféricos,2.0,109.5,219.0
116,2023-04-12,Mouse Logitech,Periféricos,3.0,121.28,363.84000000000003
117,2023-12-23,Webcam Full HD,Periféricos,4.0,349.06,1396.24
118,2023-10-17,Webcam Full HD,Periféricos,2.0,315.38,630.76
119,2023-02-05,Carregador USB-C,Acessórios,2.0,71.12,142.24
120,2023-02-24,Fones Bluetooth,Áudio,2.0,382.92,765.84
121,2023-08-11,"Monitor Samsung 24""",Monitores,3.0,989.06,2967.18
122,2023-10-03,Webcam Full HD,Periféricos,2.0,298.12,596.24
123,2023-06-15,Pen Drive 64GB,Armazenamento,5.0,51.905,259.525
125,2023-06-16,"Monitor Samsung 24""",Monitores,2.0,1038.24,2076.48
126,2023-11-02,Caixa de Som JBL,Áudio,1.0,509.98,509.98
127,2023-04-08,Mouse Logitech,Periféricos,2.0,174.38,348.76
128,2023-05-04,Cabo HDMI,Acessórios,2.0,30.69,61.38
129,2023-01-09,Mouse Logitech,Periféricos,3.0,121.36,364.08
130,2023-12-06,SSD 512GB,Armazenamento,3.0,537.5,1612.5
131,2023-10-09,Tablet iPad,Tablets,2.0,2613.25,5226.5
132,2023-04-29,Teclado Mecânico,Periféricos,1.0,645.73,645.73
133,2023-12-20,"Monitor Samsung 24""",Monitores,2.0,993.55,1987.1
134,2023-10-29,Cadeira Gamer,Móveis,2.0,2466.87,4933.74
135,2023-04-10,iPhone 14,Celulares,2.0,4028.3,8056.6
136,2023-10-01,Teclado Mecânico,Periféricos,1.0,532.02,532.02
137,2023-12-24,Mousepad Gamer,Periféricos,2.0,65.39,130.78
138,2023-01-07,SSD 512GB,Armazenamento,2.0,536.28,1072.56
139,2023-01-27,Smartphone Samsung Galaxy,Celulares,4.0,1921.27,7685.08
140,2023-02-07,SSD 512GB,Armazenamento,1.0,459.68,459.68
141,2023-10-16,Mousepad Gamer,Periféricos,1.0,67.77,67.77
142,2023-08-02,Cabo HDMI,Acessórios,1.0,42.15,42.15
143,2023-07-14,Carregador USB-C,Acessórios,3.0,79.5,238.5
144,2023-06-06,SSD 512GB,Armazenamento,3.0,439.69,1319.07
145,2023-04-17,Cabo HDMI,Acessórios,1.0,20.5,20.5
146,2023-03-30,HD Externo 1TB,Armazenamento,2.0,435.15,870.3
147,2023-11-01,Carregador USB-C,Acessórios,2.0,65.35,130.7
148,2023-12-26,Pen Drive 64GB,Armazenamento,2.0,75.82,151.64
149,2023-11-17,Cabo HDMI,Acessórios,4.0,34.06,136.24
151,2023-03-26,Webcam Full HD,Periféricos,3.0,380.3,1140.9
152,2023-08-13,Teclado Mecânico,Periféricos,3.0,441.51,1324.53
153,2023-05-20,Carregador USB-C,Acessórios,1.0,59.9,59.9
154,2023-08-10,Caixa de Som JBL,Áudio,1.0,254.8,254.8
155,2023-12-12,Pen Drive 64GB,Armazenamento,2.0,79.98,159.96
156,2023-12-11,Roteador Wi-Fi,Rede,1.0,314.68,314.68
157,2023-11-30,Carregador USB-C,Acessórios,3.0,51.79,155.37
158,2023-09-09,Mousepad Gamer,Periféricos,2.0,100.0,200.0
159,2023-12-10,Mouse Logitech,Periféricos,2.0,197.92,395.84
160,2023-05-28,Cabo HDMI,Acessórios,3.0,16.28,48.84
161,2023-02-15,iPhone 14,Celulares,2.0,5729.82,11459.64
162,2023-01-01,Cabo HDMI,Acessórios,2.0,16.9,33.8
163,2023-09-23,Tablet iPad,Tablets,3.0,2884.08,8652.24
164,2023-01-27,Smartphone Samsung Galaxy,Celulares,2.0,1988.61,3977.22
165,2023-12-24,Carregador USB-C,Acessórios,3.0,60.44,181.32
166,2023-05-03,Caixa de Som JBL,Áudio,1.0,531.35,531.35
167,2023-02-17,Smartphone Samsung Galaxy,Celulares,4.0,2365.88,9463.52
168,2023-03-20,Carregador USB-C,Acessórios,3.0,65.27,195.81
169,2023-08-01,Roteador Wi-Fi,Rede,4.0,284.26,1137.04
170,2023-11-03,Carregador USB-C,Acessórios,5.0,68.63,343.15
171,2023-08-01,Tablet iPad,Tablets,2.0,3641.1,7282.2
172,2023-05-25,Caixa de Som JBL,Áudio,5.0,719.16,3595.7999999999997
173,2023-08-17,HD Externo 1TB,Armazenamento,3.0,528.86,1586.58
174,2023-07-13,Carregador USB-C,Acessórios,1.0,79.04,79.04
175,2023-05-03,SSD 512GB,Armazenamento,2.0,417.46,834.92
176,2023-08-31,Caixa de Som JBL,Áudio,4.0,497.2,1988.8
177,2023-01-19,Teclado Mecânico,Periféricos,4.0,724.51,2898.04
178,2023-08-14,Mouse Logitech,Periféricos,4.0,149.7,598.8
179,2023-12-02,Mousepad Gamer,Periféricos,2.0,100.78,201.56
180,2023-12-21,Fones Bluetooth,Áudio,2.0,440.94,881.88
181,2023-10-01,Fones Bluetooth,Áudio,3.0,454.98,1364.94
182,2023-09-07,Pen Drive 64GB,Armazenamento,1.0,37.91,37.91
183,2023-12-17,Mousepad Gamer,Periféricos,5.0,196.75,983.75
184,2023-11-21,Caixa de Som JBL,Áudio,1.0,616.4,616.4
185,2023-01-15,Mouse Logitech,Periféricos,2.0,140.94,281.88
186,2023-08-09,Teclado Mecânico,Periféricos,3.0,609.08,1827.2400000000002
187,2023-04-03,"Monitor Samsung 24""",Monitores,2.0,1233.8,2467.6
188,2023-05-04,Carregador USB-C,Acessórios,1.0,53.06,53.06
189,2023-05-11,Carregador USB-C,Acessórios,2.0,75.06,150.12
190,2023-12-13,HD Externo 1TB,Armazenamento,2.0,596.3,1192.6
191,2023-06-03,Cabo HDMI,Acessórios,2.0,30.99,61.98
192,2023-06-04,Smartphone Samsung Galaxy,Celulares,2.0,1391.98,2783.96
193,2023-07-15,SSD 512GB,Armazenamento,3.0,518.09,1554.27
194,2023-12-04,Fones Bluetooth,Áudio,3.0,411.32,1233.96
195,2023-01-26,Pen Drive 64GB,Armazenamento,2.0,67.67,135.34
196,2023-04-28,Cabo HDMI,Acessórios,3.0,21.65,64.94999999999999
197,2023-05-09,Cabo HDMI,Acessórios,3.0,38.83,116.49
198,2023-03-12,Cabo HDMI,Acessórios,5.0,42.6,213.0
199,2023-01-18,SSD 512GB,Armazenamento,1.0,763.85,763.85
200,2023-06-17,Webcam Full HD,Periféricos,1.0,346.63,346.63
201,2023-07-07,Carregador USB-C,Acessórios,5.0,75.7,378.5
202,2023-09-04,Mousepad Gamer,Periféricos,2.0,170.63,341.26
203,2023-08-28,Mousepad Gamer,Periféricos,1.0,179.02,179.02
204,2023-12-12,Cadeira Gamer,Móveis,5.0,953.51,4767.55
205,2023-07-22,Notebook Dell Inspiron,Computadores,2.0,3237.17,6474.34
206,2023-12-11,Smartphone Samsung Galaxy,Celulares,3.0,2892.53,8677.59
207,2023-02-25,Cabo HDMI,Acessórios,3.0,45.95,137.85000000000002
208,2023-10-15,iPhone 14,Celulares,3.0,4126.43,12379.29
209,2023-08-26,Pen Drive 64GB,Armazenamento,2.0,31.42,62.84
210,2023-01-24,Mousepad Gamer,Periféricos,2.0,67.42,134.84
211,2023-05-01,Pen Drive 64GB,Armazenamento,2.0,45.41,90.82
212,2023-12-23,Mousepad Gamer,Periféricos,3.0,158.99,476.97
213,2023-08-01,Cabo HDMI,Acessórios,5.0,16.15,80.75
214,2023-07-09,Smartphone Samsung Galaxy,Celulares,1.0,2739.81,2739.81
215,2023-02-20,Cadeira Gamer,Móveis,3.0,1517.02,4551.0599999999995
216,2023-07-23,iPhone 14,Celulares,5.0,4183.35,20916.75
217,2023-04-19,Cabo HDMI,Acessórios,2.0,16.77,33.54
218,2023-06-20,Smartphone Samsung Galaxy,Celulares,3.0,1569.37,4708.11
219,2023-10-11,Smartphone Samsung Galaxy,Celulares,1.0,1791.41,1791.41
221,2023-03-16,Mesa de Escritório,Móveis,1.0,731.91,731.91
222,2023-01-14,Teclado Mecânico,Periféricos,1.0,553.31,553.31
223,2023-01-09,"Monitor Samsung 24""",Monitores,3.0,1094.67,3284.01
224,2023-02-28,Webcam Full HD,Periféricos,2.0,278.31,556.62
225,2023-02-25,Carregador USB-C,Acessórios,3.0,32.17,96.51
226,2023-12-04,Carregador USB-C,Acessórios,1.0,33.04,33.04
227,2023-09-03,Pen Drive 64GB,Armazenamento,1.0,51.96,51.96
228,2023-08-16,Mouse Logitech,Periféricos,3.0,105.22,315.65999999999997
229,2023-03-06,iPhone 14,Celulares,3.0,5424.31,16272.93
230,2023-07-15,Mesa de Escritório,Móveis,2.0,1206.66,2413.32
231,2023-08-09,Mouse Logitech,Periféricos,3.0,190.66,571.98
232,2023-10-10,Caixa de Som JBL,Áudio,2.0,732.85,1465.7
233,2023-07-31,Tablet iPad,Tablets,2.0,3459.23,6918.46
234,2023-06-10,Fones Bluetooth,Áudio,2.0,481.44,962.88
235,2023-12-18,Mousepad Gamer,Periféricos,1.0,119.83,119.83
236,2023-02-19,Webcam Full HD,Periféricos,1.0,289.09,289.09
237,2023-10-28,Mousepad Gamer,Periféricos,3.0,68.33,204.99
238,2023-07-01,Pen Drive 64GB,Armazenamento,4.0,78.26,313.04
239,2023-11-04,iPhone 14,Celulares,3.0,4425.48,13276.439999999999
240,2023-12-03,Carregador USB-C,Acessórios,5.0,35.74,178.70000000000002
241,2023-05-23,SSD 512GB,Armazenamento,4.0,643.6,2574.4
242,2023-12-03,Roteador Wi-Fi,Rede,1.0,245.64,245.64
243,2023-06-08,Mousepad Gamer,Periféricos,1.0,180.48,180.48
244,2023-10-17,Cabo HDMI,Acessórios,3.0,37.16,111.47999999999999
245,2023-01-16,Mouse Logitech,Periféricos,2.0,151.37,302.74
246,2023-06-24,Teclado Mecânico,Periféricos,2.0,666.1,1332.2
247,2023-10-18,Cabo HDMI,Acessórios,4.0,38.59,154.36
248,2023-05-20,Carregador USB-C,Acessórios,3.0,52.1,156.3
249,2023-05-20,Smartphone Samsung Galaxy,Celulares,2.0,1973.84,3947.68
250,2023-05-26,Cabo HDMI,Acessórios,3.0,38.35,115.05000000000001
251,2023-01-24,Smartphone Samsung Galaxy,Celulares,4.0,1742.55,6970.2
252,2023-04-19,Webcam Full HD,Periféricos,2.0,232.03,464.06
253,2023-01-04,Carregador USB-C,Acessórios,1.0,49.01,49.01
254,2023-12-27,Smartphone Samsung Galaxy,Celulares,3.0,2651.16,7953.48
255,2023-02-06,Fones Bluetooth,Áudio,2.0,107.5,215.0
256,2023-02-09,Pen Drive 64GB,Armazenamento,3.0,47.24,141.72
257,2023-11-24,Fones Bluetooth,Áudio,1.0,486.48,486.48
258,2023-03-29,Impressora HP,Impressoras,3.0,1135.82,3407.46
259,2023-02-15,Fones Bluetooth,Áudio,2.0,335.55,671.1
260,2023-09-26,Mouse Logitech,Periféricos,4.0,136.62,546.48
261,2023-03-28,Mouse Logitech,Periféricos,3.0,166.69,500.07
262,2023-06-28,Tablet iPad,Tablets,4.0,2472.54,9890.16
263,2023-03-16,Smartphone Samsung Galaxy,Celulares,1.0,2568.39,2568.39
264,2023-12-02,Mouse Logitech,Periféricos,5.0,208.26,1041.3
265,2023-10-24,Carregador USB-C,Acessórios,5.0,73.21,366.04999999999995
266,2023-11-18,iPhone 14,Celulares,2.0,4884.42,9768.84
267,2023-06-05,Impressora HP,Impressoras,2.0,805.87,1611.74
268,2023-06-08,Carregador USB-C,Acessórios,2.0,71.58,143.16
269,2023-02-09,Cabo HDMI,Acessórios,5.0,31.19,155.95000000000002
270,2023-10-11,Mousepad Gamer,Periféricos,1.0,117.46,117.46
271,2023-10-20,Cabo HDMI,Acessórios,2.0,32.55,65.1
272,2023-02-01,Carregador USB-C,Acessórios,4.0,55.23,220.92
273,2023-03-30,Notebook Dell Inspiron,Computadores,2.0,3548.14,7096.28
274,2023-11-09,Teclado Mecânico,Periféricos,2.0,432.45,864.9
275,2023-06-23,Cabo HDMI,Acessórios,3.0,37.66,112.97999999999999
276,2023-02-03,Tablet iPad,Tablets,2.0,2568.29,5136.58
277,2023-12-03,Mousepad Gamer,Periféricos,1.0,100.0,100.0
278,2023-10-26,Cabo HDMI,Acessórios,5.0,19.51,97.55000000000001
279,2023-12-29,Mousepad Gamer,Periféricos,2.0,146.52,293.04
280,2023-06-18,Roteador Wi-Fi,Rede,3.0,499.01,1497.03
281,2023-09-27,Mouse Logitech,Periféricos,3.0,141.51,424.53
282,2023-07-05,iPhone 14,Celulares,5.0,4384.01,21920.050000000003
283,2023-03-12,Teclado Mecânico,Periféricos,1.0,504.61,504.61
284,2023-10-04,Roteador Wi-Fi,Rede,5.0,456.74,2283.7
285,2023-11-13,Teclado Mecânico,Periféricos,1.0,308.51,308.51
286,2023-12-21,Webcam Full HD,Periféricos,5.0,160.92,804.5999999999999
287,2023-07-06,Cabo HDMI,Acessórios,2.0,36.37,72.74
288,2023-08-18,Smartphone Samsung Galaxy,Celulares,2.0,2827.15,5654.3
289,2023-04-10,Tablet iPad,Tablets,9.0,3538.88,31849.920000000002
290,2023-07-15,Carregador USB-C,Acessórios,1.0,70.84,70.84
291,2023-11-06,Teclado Mecânico,Periféricos,3.0,488.35,1465.0500000000002
292,2023-07-10,HD Externo 1TB,Armazenamento,3.0,555.35,1666.0500000000002
293,2023-05-26,Mouse Logitech,Periféricos,2.0,233.9,467.8
294,2023-03-17,Roteador Wi-Fi,Rede,1.0,435.85,435.85
296,2023-05-01,Fones Bluetooth,Áudio,1.0,111.28,111.28
297,2023-02-20,Pen Drive 64GB,Armazenamento,1.0,32.57,32.57
298,2023-05-27,Pen Drive 64GB,Armazenamento,1.0,66.74,66.74
299,2023-08-29,Carregador USB-C,Acessórios,1.0,30.95,30.95
300,2023-04-21,Roteador Wi-Fi,Rede,3.0,363.11,1089.33
